tier,score,name,category,city,rating,reviews,has_website,website_type,website_url,address,phone,rank_pos,search_query
HOT,75,Piscis Emmy Gym,gym,Los Fresnos,5.0,50,True,social,https://www.facebook.com/share/16WY28NYh4/?mibextid=wwXIfr,31250 TX-100,(956) 280-3938,2,gym in Los Fresnos tx
HOT,75,Real Time Fitness & Juice Bar (gym),gym,Port Isabel,4.6,50,True,social,https://www.facebook.com/Realtimefitnessandjuicebar,5+ years in business,(956) 433-5400,2,gym in Port Isabel tx
HOT,75,Kutz Unlimited,hair salon,San Benito,5.0,55,True,social,https://www.facebook.com/Kutz-Unlimited-184083661634330/,Closes soon,(956) 893-1813,2,best hair salon in San Benito texas
HOT,75,The Magnolia Tea Room & Events,catering,Mission,4.9,55,True,social,https://www.facebook.com/themagnoliatearoom,,(956) 225-3168,2,best catering in Mission texas
WARM,69,Rio Max Fitness LLC,gym,Rio Grande City,4.7,53,True,social,https://www.facebook.com/riomaxfitness/,7+ years in business,(956) 352-6650,3,gym in Rio Grande City tx
WARM,69,Ohana Construction & Landscaping,landscaping,McAllen,4.9,93,True,social,https://www.facebook.com/landscapingohana?mibextid=LQQJ4d,Closes soon,(832) 594-1234,3,best landscaping in McAllen texas
WARM,69,"Hager Law, PLLC",divorce attorney,Mercedes,4.9,88,True,social,https://hagerlawtx.com/?utm_campaign=gmb,Closes soon,(903) 466-0001,3,divorce attorney in Mercedes tx
WARM,69,LE'BLISS HAIR & BEAUTY SALON,hair salon,Brownsville,4.7,73,True,social,https://www.instagram.com/lebliss.salon/,Closes soon,(956) 407-0099,3,hair salon in Brownsville tx
WARM,69,Zenith Therapy Center,physical therapist,Edinburg,5.0,68,True,social,https://www.facebook.com/zeniththerapycenter/,2260 S Business Hwy 281 Unit 13,(956) 348-2232,3,top rated physical therapist near Edinburg tx
WARM,65,Insane Performance Landscaping,landscaping,Harlingen,5.0,28,True,social,https://insaneperformancetx.com/?utm_source=omg-gbp&amp;utm_medium=webclick,,(956) 254-6913,1,top rated landscaping near Harlingen tx
WARM,65,Genesis Beauty Salon,hair salon,Mercedes,4.7,37,True,social,https://www.facebook.com/GENESISBEAUTYSALONATKERYGMAPLAZA,,(956) 565-6067,1,hair salon in Mercedes tx
WARM,65,Del Valle Tax Services II,accountant,Alamo,5.0,25,True,social,https://www.facebook.com/share/17b3Cw7KVe/?mibextid=wwXIfr,1001 E Frontage Rd Suite V,(956) 258-5048,1,accountant in Alamo tx
WARM,65,Total Rehab Kids,physical therapist,Pharr,4.5,39,True,social,http://www.totalrehabtx.com/,805 N Cage Blvd Suite J,(956) 291-0599,1,physical therapist in Pharr tx
WARM,65,Lupe's Garage,auto repair shop,Alamo,4.8,22,True,social,https://www.facebook.com/lupesgarage/,10+ years in business,(956) 792-4981,1,best auto repair shop in Alamo texas
WARM,60,Da-Vi Nails Hidalgo,nail salon,Hidalgo,4.0,31,True,social,https://www.facebook.com/share/1C45Hcp6wn/?mibextid=wwXIfr,,(956) 843-8000,1,nail salon in Hidalgo tx
WARM,60,CND Insurance Agency LLC,insurance agent,McAllen,4.3,45,True,social,https://cndinsurancetx.com/,,(956) 666-9500,1,insurance agent in McAllen tx
WARM,60,Jaabs Landscaping,landscaping,Mission,5.0,22,True,social,https://www.tiktok.com/@jaabslandscaping?_t=8daIMrpGuqY&amp;_r=1,Closes soon,(956) 212-3535,2,landscaping in Mission tx
WARM,60,AQBJJ,martial arts,Pharr,5.0,38,True,social,https://m.facebook.com/AQBJJ-106619445411195/,3+ years in business,(956) 478-2597,2,martial arts in Pharr tx
WARM,60,"Law Office of Diana Fuentes Aguilar, PLLC",divorce attorney,Weslaco,4.0,41,True,social,https://dfalawtx.com/,7+ years in business,(956) 975-2550,1,divorce attorney in Weslaco tx
WARM,60,Averon Construction LLC.,general contractor,Hidalgo,5.0,33,True,social,http://hidalgoroofingremodelingtx.com/,Closed,(281) 985-9591,2,best general contractor in Hidalgo texas
WARM,60,Serrato's Automotive Services,auto repair shop,Los Fresnos,4.9,31,True,social,https://www.facebook.com/partesnissan/,31260 TX-100,(956) 442-3513,2,auto repair shop in Los Fresnos tx
WARM,55,"R & J Construction, LLC",general contractor,Brownsville,5.0,13,True,social,https://m.facebook.com/rjconstructionllc20/,Closes soon,(256) 374-4119,1,best general contractor in Brownsville texas
WARM,55,Venus Beauty Salon & Spa,hair salon,Los Fresnos,5.0,15,True,social,https://m.facebook.com/VenusBeautySalonSpa/,Closes soon,(956) 233-1355,1,hair salon in Los Fresnos tx
WARM,55,"Raul's Income Tax, LLC",accountant,Rio Grande City,4.9,12,True,social,https://www.facebook.com/p/Rauls-Income-Tax-Services-Rio-Grande-Central-Office-100063486046113/,10+ years in business,(956) 488-2530,1,best accountant in Rio Grande City texas
WARM,55,Medina Real Estate,real estate agent,Weslaco,4.4,25,True,social,http://www.medinarealestatetx.com/,40+ years in business,(956) 968-8900,2,best real estate agent in Weslaco texas
COLD,54,Air Chill Factor Heating and Cooling,hvac contractor,Donna,4.9,36,True,social,https://airchillfactortx.com/,Closes soon,(956) 377-5828,3,best hvac contractor in Donna texas
COLD,54,Checkmat South Texas Brazilian Jiu Jitsu,martial arts,Pharr,5.0,43,True,social,http://www.checkmatstx.com/,5+ years in business,(956) 607-6197,3,martial arts in Pharr tx
COLD,54,Total Rehabilitation of Harlingen,physical therapist,Harlingen,4.6,36,True,social,http://www.totalrehabtx.com/,595 W Sesame Dr,(956) 428-5440,3,physical therapist in Harlingen tx
COLD,54,Mission City Roofing,roofing contractor,Mission,5.0,26,True,social,https://www.missioncityroofingtx.com/,Closes soon,(210) 705-0664,3,best roofing contractor in Mission texas
COLD,54,"Revo Roofing, LLC",roofing contractor,Los Fresnos,5.0,24,True,social,http://facebook.com/revoroofing21,,(956) 479-7246,3,top rated roofing contractor near Los Fresnos tx
COLD,50,Reyes Remodeling,home remodeler,Mercedes,5.0,13,True,social,https://www.reyesremodeltx.com/,Closes soon,(903) 312-1127,2,best home remodeler in Mercedes texas
COLD,50,Southern Remodeling & Construction LLC,home remodeler,Rio Grande City,4.7,12,True,social,https://www.instagram.com/southern.remodeling/?hl=en,Closed,(956) 454-7958,2,top rated home remodeler near Rio Grande City tx
COLD,50,Roberto Torres Catering,catering,Alamo,5.0,6,True,social,https://m.facebook.com/robertotorrescatering/,,(956) 616-2199,2,catering in Alamo tx
COLD,50,MedSpa Del Valle,day spa,Weslaco,5.0,16,True,social,https://www.facebook.com/share/19H8PmaHip/,411 N Texas Blvd,(956) 376-0730,2,day spa in Weslaco tx
COLD,45,Joe's Remodeling,home remodeler,Mercedes,5.0,3,True,social,https://www.facebook.com/profile.php?id=61557289419097&amp;mibextid=LQQJ4d,3+ years in business,(956) 363-8730,2,home remodeler in Mercedes tx
COLD,45,Treehouse Rehabilitation Center,physical therapist,Mercedes,4.2,5,True,social,https://www.facebook.com/treehouserehabcenter/,327 W 3rd St,(956) 565-9300,2,physical therapist in Mercedes tx
COLD,44,Aliz Remodeling,home remodeler,Port Isabel,5.0,11,True,social,https://www.facebook.com/alizremodeling/,,(956) 326-8968,3,top rated home remodeler near Port Isabel tx
COLD,44,IronShield CrossFit,gym,Donna,5.0,13,True,social,https://www.facebook.com/ironshieldcrossfit/,2014 Redskin Ave,(956) 404-4655,3,gym in Donna tx
COLD,44,Combat Sports Institute,martial arts,Mission,5.0,15,True,social,https://www.facebook.com/combatsportsinstitute,3+ years in business,(956) 378-5608,3,martial arts in Mission tx
COLD,44,DVS - Quality Electrical Service and Electrical Maintenance,electrician,Edinburg,5.0,6,True,social,https://dvs-tx.com/,,(956) 247-0310,3,electrician in Edinburg tx
COLD,44,Essential Electrical Services,electrician,Port Isabel,5.0,14,True,social,https://www.facebook.com/search/top?q=essential%20electrical%20services%20llc,,(832) 270-1884,3,electrician in Port Isabel tx
COLD,44,Deluxe Day Spa,day spa,Edinburg,5.0,14,True,social,https://www.facebook.com/deluxedayspaa/,3+ years in business,(956) 644-1090,3,day spa in Edinburg tx
COLD,44,BioCapeli,day spa,South Padre Island,5.0,5,True,social,https://www.facebook.com/BioCapelli-175484829173956/,340 Padre Blvd,(956) 543-6352,3,day spa in South Padre Island tx
COLD,39,Pronto Insurance,insurance agent,Hidalgo,4.0,19,True,social,https://www.facebook.com/Pronto-Insurance-Hidalgo-113987426684831/,7+ years in business,(956) 843-2545,3,top rated insurance agent near Hidalgo tx
COLD,39,Health Zone Fitness Club,gym,Alamo,5.0,4,True,social,http://www.facebook.com/HealthZoneFitnessClub,10+ years in business,(956) 221-2591,3,gym in Alamo tx
COLD,39,Rodriguez Bookkeeping & Tax Services,accountant,Los Fresnos,4.1,15,True,social,https://m.facebook.com/Rodriguez-Bookkeeping-Tax-Svc-605016239565026/,10+ years in business,(956) 233-8855,3,accountant in Los Fresnos tx
COLD,39,GSR Auto Repair,auto repair shop,Alamo,5.0,1,True,social,https://www.facebook.com/share/1FtZtgGULW/?mibextid=wwXIfr,105 N 9th Pl,(956) 510-4172,3,best auto repair shop in Alamo texas
