tier,score,name,category,city,rating,reviews,has_website,website_type,website_url,address,phone,rank_pos,search_query
HOT,150,Rodeo Dental & Orthodontics of Mission,dentist,Mission,4.9,3900,False,none,,117 E Griffin Pkwy,,1,top rated dentist near Mission tx
HOT,150,Legacy Dental,dentist,Brownsville,4.9,2600,False,none,,2200 Boca Chica Blvd #138,,1,top rated dentist near Brownsville tx
HOT,150,Tijerina Family & Cosmetic Dentistry of McAllen,cosmetic dentist,McAllen,5.0,516,False,none,,4121 N 22nd St,,1,cosmetic dentist in McAllen tx
HOT,150,The Lakes Family Dental,cosmetic dentist,Edinburg,4.8,1700,False,none,,3103 Center Pointe Dr,,1,cosmetic dentist in Edinburg tx
HOT,150,Smile Magic of Weslaco,cosmetic dentist,Weslaco,4.9,1800,False,none,,802 N Texas Blvd,,1,best cosmetic dentist in Weslaco texas
HOT,150,Daydream Family Dentistry - Airway Dentistry,cosmetic dentist,Weslaco,5.0,501,False,none,,519 S Missouri Ave,,1,top rated cosmetic dentist near Weslaco tx
HOT,150,Rodeo Dental & Orthodontics of San Benito,cosmetic dentist,San Benito,4.9,3300,False,none,,1141 US-77 BUS #G,,1,top rated cosmetic dentist near San Benito tx
HOT,150,Rodeo Dental & Orthodontics of Donna,cosmetic dentist,Donna,5.0,1900,False,none,,1814 East Highway 2 Ste. D,,1,cosmetic dentist in Donna tx
HOT,150,Alamo Family & Cosmetic Dentistry,cosmetic dentist,Alamo,4.9,312,False,none,,,,1,top rated cosmetic dentist near Alamo tx
HOT,150,J. Castillo Cosmetic & Family Dentistry,cosmetic dentist,Hidalgo,4.9,910,False,none,,Closes soon,,1,best cosmetic dentist in Hidalgo texas
HOT,150,Rio Grande Family Dental,cosmetic dentist,Rio Grande City,4.8,320,False,none,,,,1,best cosmetic dentist in Rio Grande City texas
HOT,150,Amistad Dentistry,cosmetic dentist,Rio Grande City,4.9,372,False,none,,Closes soon,,1,top rated cosmetic dentist near Rio Grande City tx
HOT,150,A Perfect Smile Orthodontics,orthodontist,McAllen,4.9,2100,False,none,,1400 E Expressway 83 #155,,1,best orthodontist in McAllen texas
HOT,150,Rodeo Dental & Orthodontics of Edinburg,orthodontist,Edinburg,4.9,2500,False,none,,1560 E Canton Rd suite g,,1,best orthodontist in Edinburg texas
HOT,150,A Perfect Smile Orthodontics,orthodontist,Mission,4.9,2100,False,none,,,,1,top rated orthodontist near Mission tx
HOT,150,Rodeo Dental & Orthodontics of Harlingen,orthodontist,Harlingen,4.9,2200,False,none,,601 N 77 Sunshine Strip #4,,1,orthodontist in Harlingen tx
HOT,150,Rodeo Dental & Orthodontics,orthodontist,Brownsville,4.9,2600,False,none,,2155 Ruben M Torres Blvd Suite 4,,1,best orthodontist in Brownsville texas
HOT,145,Smith Dental,dentist,Mission,4.9,534,False,none,,308 S Bryan Rd,,2,top rated dentist near Mission tx
HOT,145,Westlake Family Dentistry,dentist,Brownsville,4.9,1000,False,none,,3020 W Alton Gloor Blvd Suite D,,2,top rated dentist near Brownsville tx
HOT,145,Dental Park,cosmetic dentist,McAllen,5.0,1300,False,none,,930 E Expressway 83,,2,cosmetic dentist in McAllen tx
HOT,145,A.C. Villarreal Family Dental,cosmetic dentist,Edinburg,4.8,638,False,none,,1123 S 10th Ave,,2,cosmetic dentist in Edinburg tx
HOT,145,Palm Valley Dental,cosmetic dentist,Edinburg,4.9,1300,False,none,,4649 S Jackson Rd,,2,top rated cosmetic dentist near Edinburg tx
HOT,145,"Cristina Sosa Anderson, D.D.S.",cosmetic dentist,Brownsville,4.9,458,False,none,,800 E Los Ebanos Blvd,,2,cosmetic dentist in Brownsville tx
HOT,145,De La Garza Family Dental,cosmetic dentist,Weslaco,4.9,448,False,none,,461 N Westgate Dr,,2,best cosmetic dentist in Weslaco texas
HOT,145,Martinez Dental Group,cosmetic dentist,San Benito,4.7,249,False,none,,985 S Sam Houston Blvd #3064,,2,top rated cosmetic dentist near San Benito tx
