tier,score,name,category,city,rating,reviews,has_website,website_type,website_url,address,phone,rank_pos,search_query
HOT,150,Gigglesville Pediatric Dentistry,dentist,McAllen,4.8,890,False,none,,,(956) 426-0407,1,dentist in McAllen tx
HOT,139,Tijerina Family & Cosmetic Dentistry of McAllen,dentist,McAllen,5.0,516,False,none,,,(956) 687-6103,3,best dentist in McAllen texas
HOT,112,Top Dental,dentist,McAllen,4.7,115,False,none,,,(956) 618-5811,4,dentist in McAllen tx
WARM,70,Dental Park,dentist,McAllen,5.0,0,False,none,,,(956) 540-7825,2,dentist in McAllen tx
WARM,64,Smile Magic of McAllen,dentist,McAllen,4.8,0,False,none,,,(956) 278-8148,3,dentist in McAllen tx
