tier,score,name,category,city,rating,reviews,has_website,website_type,website_url,address,phone,rank_pos,search_query
WARM,69,Great-Relief Massage Therapist,massage therapist,San Benito,5.0,12,False,none,,7+ years in business,(623) 695-5278,3,top rated massage therapist near San Benito tx
WARM,69,"Law Office of Alfredo Garcia Jr., PLLC",divorce attorney,San Benito,5.0,15,False,none,,,(956) 777-2099,3,best divorce attorney in San Benito texas
WARM,69,ST Electric LLC,electrician,Mission,5.0,13,False,none,,Closes soon,(956) 598-8820,3,electrician in Mission tx
WARM,69,Everlasting Construction and Remodeling LLC,general contractor,San Benito,5.0,12,False,none,,,(956) 272-9739,3,top rated general contractor near San Benito tx
WARM,69,Aijara's Barber & Beauty Shop,hair salon,Hidalgo,4.7,17,False,none,,,(956) 884-6021,3,hair salon in Hidalgo tx
WARM,69,Hordys Income Tax Services,accountant,Hidalgo,4.8,18,False,none,,10+ years in business,(956) 843-2717,3,accountant in Hidalgo tx
WARM,69,ProCare Therapies PC,physical therapist,Alamo,4.8,6,False,none,,515 US-83 BUS,(956) 362-6705,3,top rated physical therapist near Alamo tx
WARM,69,ROOF PRO,roofing contractor,Alamo,5.0,7,False,none,,,(956) 330-2456,3,roofing contractor in Alamo tx
WARM,69,Rango Mechanic Shop,auto repair shop,Weslaco,4.7,12,False,none,,3+ years in business,,3,top rated auto repair shop near Weslaco tx
WARM,69,Aguilar's Automotive and Diesel,auto repair shop,Los Fresnos,5.0,8,False,none,,3+ years in business,(956) 312-9949,3,auto repair shop in Los Fresnos tx
WARM,65,Alanis Law Firm,immigration lawyer,Weslaco,3.3,14,False,none,,7+ years in business,(956) 410-1003,2,immigration lawyer in Weslaco tx
WARM,65,Tip to Toe,nail salon,Port Isabel,3.6,10,False,none,,Closes soon,,2,top rated nail salon near Port Isabel tx
WARM,65,"Stapleton & Barrera, Injury Attorneys",personal injury lawyer,San Benito,,0,False,none,,7+ years in business,(956) 399-1299,1,best personal injury lawyer in San Benito texas
WARM,65,Pro Plumbers Donna TX,plumber,Donna,,0,False,none,,,(956) 634-5499,1,best plumber in Donna texas
WARM,65,Rudy's Plumbing Service,plumber,Mercedes,3.9,11,False,none,,Closes soon,(956) 650-0011,2,plumber in Mercedes tx
WARM,65,Fox Auto Collision Center,auto body shop,Alamo,3.7,3,False,none,,3+ years in business,(956) 223-6584,1,top rated auto body shop near Alamo tx
WARM,65,Spa of Sanctuary,massage therapist,Weslaco,3.8,4,False,none,,10+ years in business,(956) 969-3499,1,top rated massage therapist near Weslaco tx
WARM,65,Island Roofers,roofing contractor,South Padre Island,,0,False,none,,,(956) 433-3811,1,best roofing contractor in South Padre Island texas
WARM,64,Vargas remodeling and handyman services,home remodeler,Donna,5.0,1,False,none,,3+ years in business,(956) 678-1711,3,best home remodeler in Donna texas
WARM,64,Lila’s Nail Salon,nail salon,San Benito,4.1,9,False,none,,,(956) 626-3440,3,nail salon in San Benito tx
WARM,64,Nails by Tina,nail salon,Rio Grande City,5.0,3,False,none,,,(956) 422-0363,3,nail salon in Rio Grande City tx
WARM,64,Affordable Moving Services,moving company,Mission,5.0,2,False,none,,,(956) 584-1300,3,moving company in Mission tx
WARM,64,"Lora N. Martinez, OD",optometrist,Mercedes,4.0,7,False,none,,325 W 3rd St,(956) 514-0559,3,top rated optometrist near Mercedes tx
WARM,64,Optica Bravo,optometrist,Rio Grande City,4.1,14,False,none,,110 N Lopez St,(956) 487-0418,3,best optometrist in Rio Grande City texas
WARM,64,RGV Eye Center,optometrist,Port Isabel,5.0,3,False,none,,1401 TX-100,(956) 888-7773,3,optometrist in Port Isabel tx
WARM,64,Massage therapy,massage therapist,Mercedes,5.0,1,False,none,,3+ years in business,,3,massage therapist in Mercedes tx
WARM,64,Massage therapy,massage therapist,Mercedes,5.0,1,False,none,,600 Calderia St apt 116,,3,best massage therapist in Mercedes texas
WARM,64,A Massage and Spa Mobile Service,massage therapist,South Padre Island,5.0,1,False,none,,10+ years in business,(956) 465-5500,3,massage therapist in South Padre Island tx
WARM,64,The Meltdown,restaurant,Rio Grande City,4.4,7,False,none,,4756 E US Hwy 83,,3,restaurant in Rio Grande City tx
WARM,64,Yi Dentistry - Donna,cosmetic dentist,Donna,5.0,3,False,none,,201 N Main St Ste B,,3,cosmetic dentist in Donna tx
WARM,64,Dr. Juan Guerra,cosmetic dentist,Rio Grande City,4.3,8,False,none,,127 FM 3167,(956) 263-1889,3,cosmetic dentist in Rio Grande City tx
WARM,64,Cornett Construction Co,general contractor,San Benito,4.5,4,False,none,,Closed,(956) 399-3743,3,general contractor in San Benito tx
WARM,64,GA & CO Contracting LLC,general contractor,Donna,5.0,1,False,none,,,(956) 355-1311,3,general contractor in Donna tx
WARM,64,Jimmy Closner & Sons Construction,general contractor,Mercedes,4.3,7,False,none,,,(956) 565-2688,3,general contractor in Mercedes tx
WARM,64,Mallie’s Hair Salon,hair salon,Mercedes,5.0,1,False,none,,Closes soon,(956) 798-0599,3,hair salon in Mercedes tx
WARM,64,"Oscar R. Gonzalez, CPA & Associates, PLLC",accountant,Pharr,4.4,5,False,none,,10+ years in business,(956) 787-9909,3,accountant in Pharr tx
WARM,64,MP's Tax Services,accountant,San Benito,5.0,2,False,none,,10+ years in business,(956) 399-8027,3,accountant in San Benito tx
WARM,64,Flores Bookkeeping,accountant,Donna,5.0,2,False,none,,10+ years in business,(956) 375-3189,3,accountant in Donna tx
WARM,64,Mendez & Robles Business & Tax Consultants,accountant,Rio Grande City,5.0,1,False,none,,10+ years in business,(956) 317-1124,3,best accountant in Rio Grande City texas
WARM,64,Krummel & Magee PC,accountant,Port Isabel,4.7,3,False,none,,10+ years in business,(956) 943-2121,3,accountant in Port Isabel tx
WARM,64,Magaly’s Catering,catering,Pharr,4.4,8,False,none,,,(956) 332-8455,3,catering in Pharr tx
WARM,64,Rio Rehab for Children PLLC,physical therapist,Rio Grande City,5.0,2,False,none,,5346 E US Hwy 83 suite 2 building a,(956) 317-1282,3,physical therapist in Rio Grande City tx
