tier,score,name,category,city,rating,reviews,has_website,website_type,website_url,address,phone,rank_pos,search_query
HOT,100,Hidalgo Veterinary Services,veterinarian,Hidalgo,4.9,73,False,none,,Closed,(361) 358-1811,2,veterinarian in Hidalgo tx
HOT,100,"LAW OFFICE OF FRANCISCO MARTINEZ, JR",divorce attorney,McAllen,4.6,87,False,none,,5+ years in business,(956) 971-0972,2,divorce attorney in McAllen tx
HOT,100,Erico Salon & Spa,hair salon,Weslaco,4.9,77,False,none,,,(956) 968-9999,2,hair salon in Weslaco tx
HOT,100,Rosie's Hair Salon,hair salon,San Benito,4.7,63,False,none,,Closes soon,(956) 361-3563,2,hair salon in San Benito tx
HOT,100,Martha's Beauty Parlor,hair salon,Mercedes,4.7,80,False,none,,Closes soon,(956) 565-0800,2,hair salon in Mercedes tx
HOT,100,Infinity Financial Services,accountant,Pharr,4.8,51,False,none,,15+ years in business,(956) 783-4323,2,top rated accountant near Pharr tx
HOT,100,Port Isabel Event & Cultural Center,catering,Port Isabel,4.6,99,False,none,,309 Railroad St,,2,catering in Port Isabel tx
HOT,100,The Smile Clinic,dentist,Alamo,5.0,52,False,none,,725 N Tower Rd,(956) 787-4337,2,dentist in Alamo tx
HOT,100,Picazo's Garage & Road Service,auto repair shop,Brownsville,4.9,50,False,none,,4620 Mar St Suite C,(956) 656-2038,2,auto repair shop in Brownsville tx
HOT,100,J & J Tire & Auto,auto repair shop,San Benito,4.8,84,False,none,,10+ years in business,(956) 361-6041,2,auto repair shop in San Benito tx
HOT,95,Fancy Nails And Salon,nail salon,Mercedes,3.9,73,False,none,,,(956) 514-1300,1,nail salon in Mercedes tx
HOT,95,Donna Eye Clinic & Optical,optometrist,Donna,2.8,82,False,none,,301 N D Salinas Blvd,(956) 464-8160,1,optometrist in Donna tx
HOT,95,Mesquite Valley Smokehouse,restaurant,Harlingen,4.4,86,False,none,,105 W Tyler Ave,,2,restaurant in Harlingen tx
HOT,95,Car Check Auto Service,auto repair shop,Pharr,4.2,66,False,none,,10+ years in business,(956) 787-7741,2,auto repair shop in Pharr tx
HOT,94,Mario Bros AC Heating LLC,hvac contractor,Weslaco,5.0,83,False,none,,,(956) 975-5928,3,hvac contractor in Weslaco tx
HOT,94,Lovely nails,nail salon,Rio Grande City,4.5,63,False,none,,,(956) 488-9708,3,top rated nail salon near Rio Grande City tx
HOT,94,Snap Insurance at Snap Cash Tax Services,insurance agent,Rio Grande City,4.9,54,False,none,,5+ years in business,(956) 317-1212,3,best insurance agent in Rio Grande City texas
HOT,94,EC AUTO COLLISION,auto body shop,Brownsville,4.7,82,False,none,,10+ years in business,(956) 801-2204,3,auto body shop in Brownsville tx
HOT,94,Third Coast Paint & Kollision,auto body shop,Weslaco,5.0,94,False,none,,320 S Utah Ave Suite B,(956) 405-3180,3,best auto body shop in Weslaco texas
HOT,94,Petra & Pedro's Healing Hands Therapeutic Massage,massage therapist,Mission,4.5,73,False,none,,10+ years in business,(956) 583-3428,3,massage therapist in Mission tx
HOT,94,La Loncheria,restaurant,Weslaco,4.6,57,False,none,,1025 N Texas Blvd Ste 21i,,3,restaurant in Weslaco tx
HOT,94,Memestaurante Cafe,restaurant,Hidalgo,4.7,77,False,none,,2345 E Hwy 281 unit C,,3,best restaurant in Hidalgo texas
HOT,94,Carnes Asadas Don Omar,restaurant,Rio Grande City,4.8,63,False,none,,1202 W Main St,,3,best restaurant in Rio Grande City texas
HOT,94,Port Isabel Dental Associates,cosmetic dentist,South Padre Island,4.6,73,False,none,,Closes soon,,3,top rated cosmetic dentist near South Padre Island tx
HOT,94,Attitudes Hair Salon,hair salon,Edinburg,4.8,84,False,none,,,(956) 289-8933,3,hair salon in Edinburg tx
HOT,94,Vogue Hair & Co,hair salon,Harlingen,4.9,57,False,none,,,(956) 622-1185,3,best hair salon in Harlingen texas
HOT,94,Anthea Hair Salon,hair salon,San Benito,4.7,54,False,none,,Closes soon,(956) 361-3333,3,best hair salon in San Benito texas
HOT,94,Brenda's Beauty Salon,hair salon,Donna,4.8,66,False,none,,,(956) 309-1815,3,best hair salon in Donna texas
HOT,94,Twins Beauty Salon,hair salon,Port Isabel,4.9,72,False,none,,Closes soon,(956) 943-2625,3,best hair salon in Port Isabel texas
HOT,94,Campos Catering. LLC,catering,McAllen,4.9,75,False,none,,,,3,catering in McAllen tx
HOT,94,The Magnolia Tea Room & Events,catering,Mission,4.9,55,False,none,,1022 E Griffin Pkwy STE 107B,,3,catering in Mission tx
HOT,94,Maldonado Law,criminal defense attorney,Edinburg,4.9,53,False,none,,10+ years in business,(956) 381-4600,3,criminal defense attorney in Edinburg tx
HOT,94,McAllen Mobile Mechanic Service,auto repair shop,Edinburg,4.9,64,False,none,,,(956) 278-8258,3,top rated auto repair shop near Edinburg tx
HOT,94,AUTO TECHNOLOGY,auto repair shop,Brownsville,4.5,57,False,none,,7+ years in business,(956) 982-0363,3,auto repair shop in Brownsville tx
HOT,94,Oscar's Tire Shop,auto repair shop,Hidalgo,4.7,92,False,none,,10 E Coma Ave #2511,(956) 867-6028,3,best auto repair shop in Hidalgo texas
HOT,94,Dan's Auto Repairs,auto repair shop,Port Isabel,4.8,63,False,none,,10+ years in business,(956) 943-2778,3,auto repair shop in Port Isabel tx
HOT,90,Allure Nails Spa,nail salon,Mission,5.0,30,False,none,,,(956) 424-0624,1,nail salon in Mission tx
HOT,90,Nails & Pedi Spa,nail salon,Pharr,5.0,33,False,none,,,(956) 510-8820,1,nail salon in Pharr tx
HOT,90,Nail Artistry & Spa,nail salon,Weslaco,5.0,33,False,none,,,(956) 503-5692,1,nail salon in Weslaco tx
HOT,90,Fitness Express LLC,gym,Donna,4.6,28,False,none,,10+ years in business,,1,gym in Donna tx
HOT,90,Iron Asylum Fitness Gym,gym,Los Fresnos,4.5,39,False,none,,5+ years in business,(956) 233-2800,1,gym in Los Fresnos tx
HOT,90,Family Vision Care,optometrist,Pharr,3.9,70,False,none,,900 W Sam Houston Blvd Ste 5,(956) 781-3300,2,optometrist in Pharr tx
HOT,90,"Baez Law, PLLC",personal injury lawyer,South Padre Island,5.0,31,False,none,,5+ years in business,(956) 899-8999,1,personal injury lawyer in South Padre Island tx
HOT,90,Betancourt Landscaping Service LLC,landscaping,Edinburg,5.0,34,False,none,,,(956) 998-6223,1,landscaping in Edinburg tx
HOT,90,Hernandez Landscaping & Irrigation System,landscaping,Pharr,4.9,35,False,none,,Closes soon,(956) 601-9349,1,landscaping in Pharr tx
HOT,90,T C Autoworks Custom Paint,auto body shop,Donna,4.9,24,False,none,,10+ years in business,(956) 377-5955,1,auto body shop in Donna tx
HOT,90,325 Massage Studio,massage therapist,Weslaco,4.9,42,False,none,,325 Massage Studio,(956) 854-3278,1,massage therapist in Weslaco tx
HOT,90,The Dentist,cosmetic dentist,South Padre Island,5.0,31,False,none,,4912 Padre Blvd,(956) 761-1012,1,cosmetic dentist in South Padre Island tx
HOT,90,GMES Electric,electrician,Harlingen,4.7,39,False,none,,,(956) 264-4694,1,best electrician in Harlingen texas
HOT,90,RGV Remodeling & Construction Llc,general contractor,Mission,5.0,31,False,none,,Closes soon,(956) 321-3279,1,best general contractor in Mission texas
HOT,90,Norma's Beauty Salon,hair salon,San Benito,4.9,35,False,none,,Closes soon,(956) 399-7803,1,hair salon in San Benito tx
HOT,90,Hollywood Hair salon,hair salon,Rio Grande City,4.9,43,False,none,,,(956) 525-9651,1,hair salon in Rio Grande City tx
HOT,90,Salon Samuel's,hair salon,Port Isabel,5.0,34,False,none,,Closes soon,(956) 943-6170,1,best hair salon in Port Isabel texas
HOT,90,University Auto Clinic,auto repair shop,Edinburg,4.8,33,False,none,,7+ years in business,(956) 380-1303,1,auto repair shop in Edinburg tx
HOT,90,Valle Alto Auto Service,auto repair shop,Hidalgo,5.0,23,False,none,,3+ years in business,(956) 843-8161,1,best auto repair shop in Hidalgo texas
HOT,90,City Garage,auto repair shop,South Padre Island,4.9,28,False,none,,3305 Padre Blvd,(956) 761-1911,1,best auto repair shop in South Padre Island texas
HOT,89,"Jerry W. Duvall, DC",chiropractor,San Benito,4.4,56,False,none,,2480 W Business 77 Unit 09,(956) 425-6932,3,chiropractor in San Benito tx
HOT,89,Border Air Conditioning & Heating,hvac contractor,Donna,4.1,88,False,none,,,(956) 464-8534,3,hvac contractor in Donna tx
HOT,89,Hammond Vision Center,optometrist,Edinburg,4.3,60,False,none,,2506 E Richardson Rd,(956) 720-4000,3,optometrist in Edinburg tx
HOT,89,"Bud's Quality Plumbing, Inc.",plumber,Harlingen,4.3,73,False,none,,Closes soon,(956) 423-3421,3,plumber in Harlingen tx
HOT,85,"Anthony J. Flaig, DC",chiropractor,Port Isabel,5.0,20,False,none,,402 S Garcia St,(956) 943-9943,2,chiropractor in Port Isabel tx
HOT,85,K&K Nail Studio,nail salon,Rio Grande City,5.0,26,False,none,,,(956) 263-1516,2,nail salon in Rio Grande City tx
HOT,85,A&S Plumbing,plumber,Brownsville,4.9,20,False,none,,,(956) 204-1645,2,plumber in Brownsville tx
HOT,85,“Carrizales” Landscaping LLC. (RGV),landscaping,Mission,4.8,41,False,none,,,(956) 301-3869,2,best landscaping in Mission texas
HOT,85,Alegrias landscaping,landscaping,Donna,4.8,43,False,none,,Closes soon,(956) 715-1018,2,landscaping in Donna tx
HOT,85,Mission Paint & Body Shop,auto body shop,Mission,4.7,40,False,none,,10+ years in business,(956) 581-2302,2,auto body shop in Mission tx
HOT,85,Gabriel Auto Technician,auto body shop,South Padre Island,4.8,21,False,none,,,(956) 346-3484,2,best auto body shop in South Padre Island texas
HOT,85,Mayan Taqueria,restaurant,San Benito,4.9,36,False,none,,2680 W Business 77,,2,restaurant in San Benito tx
HOT,85,Pan De Vida Restaurant,restaurant,Donna,4.8,44,False,none,,116 S Main St,,2,best restaurant in Donna texas
HOT,85,Coutino's Burgers & More,restaurant,Rio Grande City,4.9,40,False,none,,410 E Main St,,2,best restaurant in Rio Grande City texas
HOT,85,Kang’s TaeKwonDo Harlingen,martial arts,Harlingen,4.8,25,False,none,,10+ years in business,(956) 361-4900,2,martial arts in Harlingen tx
HOT,85,Mid-Valley Dental: David L. Trevino DDS,cosmetic dentist,Mercedes,4.8,28,False,none,,302 N Texas Ave a,,2,best cosmetic dentist in Mercedes texas
HOT,85,Resaca City Electric,electrician,Harlingen,5.0,22,False,none,,,(956) 633-4626,2,best electrician in Harlingen texas
HOT,85,Mezcla Color Studio,hair salon,Pharr,5.0,33,False,none,,,(956) 844-6029,2,hair salon in Pharr tx
HOT,85,His & Her's Hair Salon,hair salon,Donna,4.9,36,False,none,,,(956) 442-9839,2,best hair salon in Donna texas
HOT,85,In Style Hair Studio,hair salon,Mercedes,4.8,32,False,none,,,(956) 565-4191,2,best hair salon in Mercedes texas
HOT,85,Innovations Beauty Salon,hair salon,Rio Grande City,4.9,35,False,none,,,(956) 263-1818,2,hair salon in Rio Grande City tx
HOT,85,Island Hair Gallerie & Day Spa,hair salon,South Padre Island,5.0,20,False,none,,Closes soon,(956) 408-9317,2,best hair salon in South Padre Island texas
HOT,85,R&R Income Tax ~ Norma & Nora,accountant,Mercedes,4.6,31,False,none,,7+ years in business,(956) 514-9364,2,best accountant in Mercedes texas
HOT,85,La Borrada Cazuelas,catering,Weslaco,4.8,42,False,none,,Closed,(956) 491-7776,2,best catering in Weslaco texas
HOT,85,Campbell's Auto Service,auto repair shop,Alamo,4.8,39,False,none,,7+ years in business,(956) 789-3510,2,best auto repair shop in Alamo texas
HOT,85,"Brandon and Audrey Team, Real Estate Agents, Keller Williams Realty LRGV",real estate agent,San Benito,5.0,28,False,none,,,(956) 245-0978,2,top rated real estate agent near San Benito tx
HOT,85,"TX SOLD LLC Kristy Parker, Broker",real estate agent,Los Fresnos,4.9,44,False,none,,,(830) 433-0101,2,top rated real estate agent near Los Fresnos tx
HOT,84,Tip To Toe,nail salon,Port Isabel,3.7,55,False,none,,Closed,(956) 433-5232,3,nail salon in Port Isabel tx
HOT,84,Dr Beardsley's Super Optical,optometrist,Pharr,2.8,68,False,none,,1313 S Cage Blvd,(956) 783-5500,3,optometrist in Pharr tx
