tier,score,name,category,city,rating,reviews,has_website,website_type,website_url,address,phone,rank_pos,search_query
HOT,145,Jordan Dental,dentist,Weslaco,4.9,755,False,none,,,(956) 375-2248,2,dentist near me Weslaco tx
HOT,139,Southern Dental,cosmetic dentist,Weslaco,4.9,494,False,none,,1210 E 8th St Ste 2,,3,top rated cosmetic dentist near Weslaco tx
HOT,139,Rodeo Dental & Orthodontics of Weslaco,cosmetic dentist,Weslaco,4.9,3000,False,none,,1901 W Expy 83 #800,,3,affordable cosmetic dentist in Weslaco tx
HOT,75,Star Chiropractic Center,chiropractor,Weslaco,5.0,17,False,none,,1400 N Westgate Dr #103,(956) 973-2229,2,chiropractor in Weslaco tx
HOT,75,Star Chiropractic Center,chiropractor,Weslaco,5.0,17,False,none,,,(956) 973-2229,2,chiropractor near me Weslaco tx
