lot_count,hard_mult,all_in,gross_profit,gross_margin_pct,per_lot_all_in
24,0.80,"1,242,825.15","-461,625.15",-0.59,"51,784.38"
24,1.00,"1,418,017.15","-636,817.15",-0.82,"59,084.05"
24,1.20,"1,593,209.15","-812,009.15",-1.04,"66,383.71"
27,0.80,"1,271,113.76","-392,263.76",-0.45,"47,078.29"
27,1.00,"1,452,685.18","-573,835.18",-0.65,"53,803.15"
27,1.20,"1,634,256.61","-755,406.61",-0.86,"60,528.02"
29,0.80,"1,289,972.83","-346,022.83",-0.37,"44,481.82"
29,1.00,"1,475,797.21","-531,847.21",-0.56,"50,889.56"
29,1.20,"1,661,621.59","-717,671.59",-0.76,"57,297.30"
