tier,source,comp_type,address,city,state,zip,subdivision,prop_type,prop_subtype,lot_sf,finished_sf,year_built,beds,baths,price,price_per_lot_sf,date,status,query_status,mls_id,source_url,notes,tier_rationale
D,IDX-juanjoseelizondo,townhouse_retail,600 Wichita Avenue 205,McAllen,TX,78503,The Fairway Condominiums,Residential,Condominium,2330,1403,1978,3,2,195000,83.69,7/07/2023,Closed,sold,406030,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/406030/600-Wichita-Avenue-205-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Larger-lot townhouse — broad-market context
D,IDX-juanjoseelizondo,townhouse_retail,1317 E Olympia Avenue 3,McAllen,TX,78503,Amc Three Condominiums,Residential,Condominium,2553,1331,2007,2,3,155000,60.71,7/11/2023,Closed,sold,399566,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/399566/1317-E-Olympia-Avenue-3-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Larger-lot townhouse — broad-market context
D,IDX-juanjoseelizondo,townhouse_retail,1921 S 8th Street 9,McAllen,TX,78503,Rio Del Valle Condominiums,Residential,Condominium,2351,1540,1982,3,2,123000,52.32,7/12/2023,Closed,sold,404045,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/404045/1921-S-8th-Street-9-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Larger-lot townhouse — broad-market context
D,IDX-juanjoseelizondo,townhouse_retail,4908 Sonora Avenue,McAllen,TX,78503,Las Villas Del Rio,Residential,Single Family Residence,6306,2620,2017,4,4,352000,55.82,7/13/2023,Closed,sold,400698,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/400698/4908-Sonora-Avenue-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Larger-lot townhouse — broad-market context
D,IDX-juanjoseelizondo,townhouse_retail,3100 S 2nd Street 23,McAllen,TX,78503,Chateau Heights,Residential,Townhouse,3280,2298,1981,2,3,255000,77.74,7/27/2023,Closed,sold,400146,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/400146/3100-S-2nd-Street-23-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Larger-lot townhouse — broad-market context
D,IDX-juanjoseelizondo,townhouse_retail,1927 S 48th Lane,McAllen,TX,78503,Las Villas Del Rio,Residential,Single Family Residence,5745,1630,2017,3,3,315000,54.83,8/07/2023,Closed,sold,403488,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/403488/1927-S-48th-Lane-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Larger-lot townhouse — broad-market context
D,IDX-juanjoseelizondo,townhouse_retail,5013 Sonora Avenue,McAllen,TX,78503,Las Villas Del Rio,Residential,Single Family Residence,6172,2306,2022,4,4,367000,59.46,8/08/2023,Closed,sold,398826,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/398826/5013-Sonora-Avenue-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Larger-lot townhouse — broad-market context
D,IDX-juanjoseelizondo,townhouse_retail,1305 E Olympia Avenue B,McAllen,TX,78503,Athena Condominiums,Residential,Condominium,1998,1388,2008,2,3,150000,75.08,8/22/2023,Closed,sold,410046,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/410046/1305-E-Olympia-Avenue-B-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Larger-lot townhouse — broad-market context
D,IDX-juanjoseelizondo,townhouse_retail,426 Toronto Avenue 28,McAllen,TX,78503,Townhomes Of Los Alegres #2,Residential,Townhouse,2395,1668,1990,2,3,190000,79.33,8/29/2023,Closed,sold,411508,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/411508/426-Toronto-Avenue-28-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Larger-lot townhouse — broad-market context
D,IDX-juanjoseelizondo,townhouse_retail,3003 S L Lane C,McAllen,TX,78503,Las Canadas,Residential,Condominium,2731,1263,2008,3,2,159000,58.22,9/20/2023,Closed,sold,404288,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/404288/3003-S-L-Lane-C-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Larger-lot townhouse — broad-market context
D,IDX-juanjoseelizondo,townhouse_retail,2332 S 43rd Street,McAllen,TX,78503,Falling Water,Residential,Townhouse,3199,2461,2022,4,3,325000,101.59,9/26/2023,Closed,sold,393383,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/393383/2332-S-43rd-Street-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Larger-lot townhouse — broad-market context
B,IDX-juanjoseelizondo,townhouse_retail,3016 S L Street 1,McAllen,TX,78503,Canadas,Residential,Condominium,2988,1739,2013,3,3,24300,8.13,5/22/2024,Closed,sold,432195,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/432195/3016-S-L-Street-1-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,"Sold townhouse w/in 24mo, lot 1,500-5,000 SF — secondary imputed-land basis"
B,IDX-juanjoseelizondo,townhouse_retail,1921 S 8th Street 39,McAllen,TX,78503,Rio Del Valle Condominiums,Residential,Condominium,1843,1016,1982,2,2,95000,51.55,5/23/2024,Closed,sold,423038,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/423038/1921-S-8th-Street-39-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,"Sold townhouse w/in 24mo, lot 1,500-5,000 SF — secondary imputed-land basis"
B,IDX-juanjoseelizondo,townhouse_retail,600 Toronto Avenue 18,McAllen,TX,78503,La Plaza Regency Condominiums,Residential,Condominium,2181,1066,1981,2,2,105000,48.14,8/19/2024,Closed,sold,429901,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/429901/600-Toronto-Avenue-18-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,"Sold townhouse w/in 24mo, lot 1,500-5,000 SF — secondary imputed-land basis"
A,IDX-juanjoseelizondo,townhouse_retail,600 Wichita Avenue 108,McAllen,TX,78503,The Fairway Condominiums,Residential,Condominium,1863,871,1978,1,1,119000,63.88,7/07/2025,Closed,sold,472233,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/472233/600-Wichita-Avenue-108-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,"Recent sold townhouse, lot 1,500-3,500 SF, w/in 12 mo — for imputed-land calc"
B,IDX-juanjoseelizondo,townhouse_retail,4101 Ben Hogan Avenue,McAllen,TX,78503,Victorian Square,Residential,Townhouse,2836,1418,1994,2,3,125000,44.08,2/21/2025,Closed,sold,446250,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/446250/4101-Ben-Hogan-Avenue-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,"Sold townhouse w/in 24mo, lot 1,500-5,000 SF — secondary imputed-land basis"
D,IDX-juanjoseelizondo,townhouse_retail,4908 Sweetwater Avenue,McAllen,TX,78503,Las Villas Del Rio,Residential,Single Family Residence,5922,2180,2020,3,3,389000,65.69,2026-04-17,Active,active,502098,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/502098/4908-Sweetwater-Avenue-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Larger-lot townhouse — broad-market context
C,IDX-juanjoseelizondo,townhouse_retail,4217 Colbath Avenue 250b,McAllen,TX,78503,The Palms Villas Condominiums,Residential,Condominium,2346,1333,2010,3,2,180000,76.73,2026-04-10,Active,active,501342,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/501342/4217-Colbath-Avenue-250b-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,2036 S 5th Street 8,McAllen,TX,78503,Townhomes Of Los Alegres #1,Residential,Townhouse,2427,2962,1997,4,3,350000,144.21,2026-03-30,Active,active,500420,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/500420/2036-S-5th-Street-8-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,412 Toronto Avenue 34,McAllen,TX,78503,Townhomes Of Los Alegres #1,Residential,Townhouse,3000,2234,1990,3,2,279000,93.0,2026-03-26,Active,active,500244,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/500244/412-Toronto-Avenue-34-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,1305 E Olympia Avenue E A,McAllen,TX,78503,Athena Condominiums,Residential,Condominium,1998,1273,2008,2,3,165000,82.58,2026-03-26,Active,active,500208,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/500208/1305-E-Olympia-Avenue-E-A-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,4217 130B Colbath Avenue,McAllen,TX,78503,The Palms Villas Condominiums,Residential,Condominium,2346,1333,2010,3,2,195000,83.12,2026-03-25,Active,active,500008,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/500008/4217-130B-Colbath-Avenue-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,4217 Colbath Avenue 210A,McAllen,TX,78503,The Palms Villas Condominiums,Residential,Condominium,2346,1333,2010,3,2,180000,76.73,2026-03-20,Active,active,498750,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/498750/4217-Colbath-Avenue-210A-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,3527 K Center Street,McAllen,TX,78503,Georgetown Park,Residential,Townhouse,2459,1446,2025,3,3,270000,109.8,2026-03-19,Active,active,498556,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/498556/3527-K-Center-Street-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,901 Yuma Avenue 1000,McAllen,TX,78503,Pyxis Heights,Residential,Condominium,2438,1200,2025,2,2,175000,71.78,2026-02-25,Active,active,496766,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/496766/901-Yuma-Avenue-1000-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,3016 S L Street 1,McAllen,TX,78503,Canadas,Residential,Condominium,2988,1739,2013,3,3,235000,78.65,2026-02-20,Active,active,496378,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/496378/3016-S-L-Street-1-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,3501 S L Street,McAllen,TX,78503,Georgetown Park,Residential,Townhouse,3024,1403,2026,3,3,300000,99.21,2026-02-19,Active,active,495205,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/495205/3501-S-L-Street-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,901 E Yuma Avenue 1002,McAllen,TX,78503,Pyxis Heights,Residential,Condominium,1825,1050,2025,2,2,160000,87.67,2026-02-15,Active,active,494712,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/494712/901-E-Yuma-Avenue-1002-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,901 E Yuma Avenue 1003,McAllen,TX,78503,Pyxis Heights,Residential,Condominium,1825,1050,2025,2,2,160000,87.67,2026-02-15,Active,active,494885,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/494885/901-E-Yuma-Avenue-1003-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,1921 S 8th Street 15,McAllen,TX,78503,Rio Del Valle Condominiums,Residential,Apartment,1843,1016,1982,2,2,90000,48.83,2026-02-13,Active,active,494716,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/494716/1921-S-8th-Street-15-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,1921 S 8th Street 19,McAllen,TX,78503,Rio Del Valle Condominiums,Residential,Apartment,1843,1016,1982,2,2,110000,59.69,2026-02-13,Active,active,494720,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/494720/1921-S-8th-Street-19-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,1304 E Pineridge Avenue 3,McAllen,TX,78503,Canadas Iv Condomiums,Residential,Condominium,2469,1544,2010,2,2,195000,78.98,2025-01-07,Active,active,458100,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/458100/1304-E-Pineridge-Avenue-3-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,3107 S 6th Lane,McAllen,TX,78503,La Paz,Residential,Townhouse,2648,2995,2003,3,4,340000,128.4,2025-05-23,Active,active,471610,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/471610/3107-S-6th-Lane-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,1412 E Keeton Avenue 25,McAllen,TX,78503,Las Jollas Condominiums,Residential,Condominium,3013,1345,2008,3,2,141000,46.8,2025-07-21,Active,active,476519,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/476519/1412-E-Keeton-Avenue-25-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,3013 S L Street C,McAllen,TX,78503,Las Canadas,Residential,Condominium,2945,1175,2018,3,2,170000,57.72,2025-08-22,Active,active,478978,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/478978/3013-S-L-Street-C-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,3100 S 2nd Street 2,McAllen,TX,78503,Chateau Heights,Residential,Townhouse,3280,3456,1981,4,5,442500,134.91,2025-09-26,Active,active,481503,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/481503/3100-S-2nd-Street-2-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,2113 S 3rd Street,McAllen,TX,78503,Townhomes Of Los Alegres # 3,Residential,Townhouse,3087,1394,2000,2,2,265000,85.84,2025-09-29,Active,active,482062,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/482062/2113-S-3rd-Street-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,1200 E Pineridge Avenue 4,McAllen,TX,78503,Amc Condominiums #8,Residential,Condominium,2945,1190,2013,2,3,152500,51.78,2025-10-08,Active,active,482911,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/482911/1200-E-Pineridge-Avenue-4-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,2000 S 5th Street 21,McAllen,TX,78503,Townhomes Of Los Alegres #1,Residential,Condominium,1715,1990,1990,3,3,275000,160.35,2025-10-10,Active,active,483048,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/483048/2000-S-5th-Street-21-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,3426 K Lane,McAllen,TX,78503,Georgetown Park,Residential,Townhouse,2459,1446,2025,3,3,275000,111.83,2025-10-21,Active,active,481880,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/481880/3426-K-Lane-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,901 E Yuma Avenue 504,McAllen,TX,78503,Pyxis Heights,Residential,Condominium,1825,900,2022,2,2,144500,79.18,2025-10-31,Active,active,485852,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/485852/901-E-Yuma-Avenue-504-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,4101 Ben Hogan Avenue,McAllen,TX,78503,Victorian Square,Residential,Townhouse,2836,1418,1994,2,3,192500,67.88,2025-10-31,Active,active,485853,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/485853/4101-Ben-Hogan-Avenue-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,3007 S L Lane S,McAllen,TX,78503,Las Canadas,Residential,Condominium,2478,1550,2008,3,3,203000,81.92,2025-11-22,Active,active,487616,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/487616/3007-S-L-Lane-S-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,4217 Colbath Avenue 120A,McAllen,TX,78503,The Palms Villas,Residential,Condominium,2346,1300,2010,3,2,185000,78.86,2025-12-04,Active,active,488334,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/488334/4217-Colbath-Avenue-120A-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,2016 S 5th Street 17,McAllen,TX,78503,Townhomes Of Los Alegres #1,Residential,Condominium,2351,1691,1990,2,2,129000,54.87,2025-12-16,Pending,active,489155,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/489155/2016-S-5th-Street-17-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,600 Wichita Avenue 107,McAllen,TX,78503,The Fairway Condominiums,Residential,Condominium,2290,1616,1978,3,2,249000,108.73,2025-12-19,Active,active,490404,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/490404/600-Wichita-Avenue-107-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,412 Toronto Avenue 37,McAllen,TX,78503,Townhomes Of Los Alegres #2,Residential,Townhouse,1572,1828,2002,2,3,209500,133.27,2026-01-05,Active,active,491210,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/491210/412-Toronto-Avenue-37-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,1921 S 8th Street 23,McAllen,TX,78503,Rio Del Valle Condominiums,Residential,Condominium,1843,1016,1982,2,2,117500,63.75,2026-01-12,Active,active,491891,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/491891/1921-S-8th-Street-23-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,1921 S 8th Street 11,McAllen,TX,78503,Rio Del Valle Condominiums,Residential,Apartment,1843,1016,1982,2,2,129000,69.99,2026-02-05,Pending,active,493919,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/493919/1921-S-8th-Street-11-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,3005 S L Street 3,McAllen,TX,78503,Las Canadas,Residential,Condominium,2200,1300,2008,3,3,165000,75.0,2026-01-17,Active,active,492436,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/492436/3005-S-L-Street-3-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,townhouse_retail,1412 E Keeton Street 31,McAllen,TX,78503,Las Jollas Condominiums,Residential,Condominium,3013,1420,2008,3,2,170000,56.42,2026-01-30,Active,active,493535,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/493535/1412-E-Keeton-Street-31-McAllen-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Active/pending listing — market floor signal
D,IDX-juanjoseelizondo,townhouse_retail,844 N 7th Street,Alamo,TX,78516,Nebraska Village,Residential,Single Family Residence,6250,1512,2002,3,2,207000,33.12,7/20/2023,Closed,sold,406415,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/406415/844-N-7th-Street-Alamo-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Larger-lot townhouse — broad-market context
D,IDX-juanjoseelizondo,townhouse_retail,836 N 7 1/2 Street,Alamo,TX,78516,Nebraska Village,Residential,Single Family Residence,6272,1339,2004,3,2,185000,29.5,8/10/2023,Closed,sold,409365,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/409365/836-N-7-1-2-Street-Alamo-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Larger-lot townhouse — broad-market context
D,IDX-juanjoseelizondo,townhouse_retail,709 Carey Lane,Alamo,TX,78516,Nebraska Village,Residential,Single Family Residence,6499,1523,2025,3,2,250000,38.47,2025-10-16,Pending,active,483492,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/483492/709-Carey-Lane-Alamo-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Larger-lot townhouse — broad-market context
D,IDX-juanjoseelizondo,townhouse_retail,818 S 13th Street,Alamo,TX,78516,South Alamo Village,Residential,Mobile Home,6249,1140,2020,3,2,129000,20.64,2025-12-04,Active,active,487837,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/487837/818-S-13th-Street-Alamo-TX?widgetReferer=true,Imputed-land calc: take 18-22% of price as land share,Larger-lot townhouse — broad-market context
A,HCAD-acttax,cad_vacant,N WOODY ST,Edinburg,TX,78541,Russell Village,Townhouse Lot,,,,,,,55242,,2026 CAD,CAD_assessed,cad,R469800000001400,https://actweb.acttax.com/act_webdev/hidalgo/showdetail2.jsp?can=R469800000001400,"CAD land=$55,242 impr=$0 | legal: RUSSELL VILLAGE LOT 14",Russell Village = SAME BUILDER prior platted product — strongest behavioral comp
A,HCAD-acttax,cad_improved,2233 N WOODY RD,Edinburg,TX,78541,Russell Village,Townhouse Lot,,,,,,,54731,,2026 CAD,CAD_improved,cad,R469800000000700,https://actweb.acttax.com/act_webdev/hidalgo/showdetail2.jsp?can=R469800000000700,"CAD land=$54,731 impr=$209,737 | legal: RUSSELL VILLAGE LOT 7",Russell Village = SAME BUILDER prior platted product — strongest behavioral comp
A,HCAD-acttax,cad_improved,N WOODY ST,Edinburg,TX,78541,Russell Village,Townhouse Lot,,,,,,,54731,,2026 CAD,CAD_improved,cad,R469800000001100,https://actweb.acttax.com/act_webdev/hidalgo/showdetail2.jsp?can=R469800000001100,"CAD land=$54,731 impr=$174,787 | legal: RUSSELL VILLAGE LOT 11",Russell Village = SAME BUILDER prior platted product — strongest behavioral comp
A,HCAD-acttax,cad_improved,2215 N WOODY RD,Edinburg,TX,78541,Russell Village,Townhouse Lot,,,,,,,54731,,2026 CAD,CAD_improved,cad,R469800000000300,https://actweb.acttax.com/act_webdev/hidalgo/showdetail2.jsp?can=R469800000000300,"CAD land=$54,731 impr=$207,804 | legal: RUSSELL VILLAGE LOT 3",Russell Village = SAME BUILDER prior platted product — strongest behavioral comp
A,HCAD-acttax,cad_improved,2229 N WOODY RD,Edinburg,TX,78541,Russell Village,Townhouse Lot,,,,,,,54731,,2026 CAD,CAD_improved,cad,R469800000000600,https://actweb.acttax.com/act_webdev/hidalgo/showdetail2.jsp?can=R469800000000600,"CAD land=$54,731 impr=$195,616 | legal: RUSSELL VILLAGE LOT 6",Russell Village = SAME BUILDER prior platted product — strongest behavioral comp
A,HCAD-acttax,cad_improved,2317 N WOODY RD,Edinburg,TX,78541,Russell Village,Townhouse Lot,,,,,,,55242,,2026 CAD,CAD_improved,cad,R469800000001300,https://actweb.acttax.com/act_webdev/hidalgo/showdetail2.jsp?can=R469800000001300,"CAD land=$55,242 impr=$195,616 | legal: RUSSELL VILLAGE LOT 13",Russell Village = SAME BUILDER prior platted product — strongest behavioral comp
A,HCAD-acttax,cad_improved,2313 N WOODY ST,Edinburg,TX,78541,Russell Village,Townhouse Lot,,,,,,,55242,,2026 CAD,CAD_improved,cad,R469800000001200,https://actweb.acttax.com/act_webdev/hidalgo/showdetail2.jsp?can=R469800000001200,"CAD land=$55,242 impr=$184,444 | legal: RUSSELL VILLAGE LOT 12",Russell Village = SAME BUILDER prior platted product — strongest behavioral comp
A,HCAD-acttax,cad_improved,N WOODY ST,Edinburg,TX,78541,Russell Village,Townhouse Lot,,,,,,,54731,,2026 CAD,CAD_improved,cad,R469800000000800,https://actweb.acttax.com/act_webdev/hidalgo/showdetail2.jsp?can=R469800000000800,"CAD land=$54,731 impr=$185,508 | legal: RUSSELL VILLAGE LOT 8",Russell Village = SAME BUILDER prior platted product — strongest behavioral comp
A,HCAD-acttax,cad_improved,2305 N WOODY ST,Edinburg,TX,78541,Russell Village,Townhouse Lot,,,,,,,54731,,2026 CAD,CAD_improved,cad,R469800000001000,https://actweb.acttax.com/act_webdev/hidalgo/showdetail2.jsp?can=R469800000001000,"CAD land=$54,731 impr=$181,805 | legal: RUSSELL VILLAGE LOT 10",Russell Village = SAME BUILDER prior platted product — strongest behavioral comp
A,HCAD-acttax,cad_improved,N WOODY ST,Edinburg,TX,78541,Russell Village,Townhouse Lot,,,,,,,54731,,2026 CAD,CAD_improved,cad,R469800000000500,https://actweb.acttax.com/act_webdev/hidalgo/showdetail2.jsp?can=R469800000000500,"CAD land=$54,731 impr=$197,407 | legal: RUSSELL VILLAGE LOT 5",Russell Village = SAME BUILDER prior platted product — strongest behavioral comp
A,HCAD-acttax,cad_improved,N WOODY ST,Edinburg,TX,78541,Russell Village,Townhouse Lot,,,,,,,54731,,2026 CAD,CAD_improved,cad,R469800000000400,https://actweb.acttax.com/act_webdev/hidalgo/showdetail2.jsp?can=R469800000000400,"CAD land=$54,731 impr=$207,560 | legal: RUSSELL VILLAGE LOT 4",Russell Village = SAME BUILDER prior platted product — strongest behavioral comp
A,HCAD-acttax,cad_vacant,N WOODY ST,Edinburg,TX,78541,Russell Village,Townhouse Lot,,,,,,,55242,,2026 CAD,CAD_assessed,cad,R469800000001600,https://actweb.acttax.com/act_webdev/hidalgo/showdetail2.jsp?can=R469800000001600,"CAD land=$55,242 impr=$0 | legal: RUSSELL VILLAGE LOT 16",Russell Village = SAME BUILDER prior platted product — strongest behavioral comp
